attack,attack_scope,noise_parameter,lambda,trial,stage,records_ok,ideal_fidelity,effective_fidelity,accept_probability,sampled_accept,stage_accept,sampling_model
none,targeted,0.0,8,78,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,78,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,79,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,79,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,80,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,80,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,81,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,81,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,82,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,82,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,83,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,83,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,84,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,84,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,85,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,85,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,86,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,86,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,87,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,87,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,88,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,88,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,89,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,89,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,90,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,90,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,91,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,91,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,92,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,92,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,93,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,93,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,94,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,94,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,95,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,95,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,96,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,96,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,97,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,97,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,98,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,98,S7,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
none,targeted,0.0,8,99,S5,True,1.0000000000000004,1.0000000000000004,1.0,True,True,single direct noisy draw
