scenario,lambda_parameter,p1_physical_copies,p2_physical_copies,p3_physical_copies,total_message_copies,noise_parameter,noise_model,trials,seed_base,execution_model,physical_comparisons_per_reached_stage,s5_sample_without_replacement,s7_sample_without_replacement,analytical_final_acceptance,monte_carlo_final_acceptance,monte_carlo_s5_batch_acceptance,monte_carlo_s7_batch_acceptance,s7_reached_rate,analytical_s5_batch_acceptance,analytical_s7_batch_acceptance,false_reject_rate,undetected_attack_rate,mean_s5_fidelity,mean_s5_effective_fidelity,mean_s7_fidelity,mean_s7_effective_fidelity
impersonation_attempt,4,9,4,4,17,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.3164062500000004,0.3075,0.3075,0.3075,0.3075,0.3164062500000004,1.0,N/A,0.3075,0.4956250000000003,0.4956250000000003,1.0,1.0
impersonation_attempt,8,17,8,8,33,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.10011291503906274,0.1,0.1,0.1,0.1,0.10011291503906274,1.0,N/A,0.1,0.500854166666667,0.500854166666667,1.0,1.0
impersonation_attempt,1,3,1,1,5,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.7462500000000001,0.749,0.75375,0.749,0.75375,0.7500000000000001,0.995,N/A,0.749,0.5021666666666671,0.5021233333333337,1.0,0.9900000000000001
impersonation_attempt,2,5,2,2,9,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.5568890625000001,0.55675,0.562,0.55675,0.562,0.5625000000000001,0.990025,N/A,0.55675,0.49525000000000036,0.49534500000000037,1.0,0.9900000000000002
impersonation_attempt,4,9,4,4,17,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.31012542793212905,0.30125,0.30975,0.30125,0.30975,0.31640625000000017,0.980149500625,N/A,0.30125,0.4975833333333337,0.497631666666667,1.0,0.9899999999999999
impersonation_attempt,8,17,8,8,33,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.09617778105008619,0.0985,0.1025,0.0985,0.1025,0.10011291503906262,0.9606930435754368,N/A,0.0985,0.5010833333333337,0.501061666666667,1.0,0.99
impersonation_attempt,1,3,1,1,5,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.7406250000000001,0.75,0.75775,0.75,0.75775,0.7500000000000001,0.9875,N/A,0.75,0.5085000000000004,0.5080750000000003,1.0,0.9749999999999999
impersonation_attempt,2,5,2,2,9,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.5485253906250002,0.54425,0.5615,0.54425,0.5615,0.5625000000000001,0.9751562500000001,N/A,0.54425,0.5075833333333336,0.507204166666667,1.0,0.9749999999999998
impersonation_attempt,4,9,4,4,17,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.3008801041603091,0.30075,0.31725,0.30075,0.31725,0.31640625000000017,0.9509297119140627,N/A,0.30075,0.497416666666667,0.49754583333333374,1.0,0.9749999999999998
impersonation_attempt,8,17,8,8,33,0.05,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.09052883707951843,0.0875,0.09825,0.0875,0.09825,0.10011291503906262,0.9042673170009622,N/A,0.0875,0.5017500000000004,0.5016625000000003,1.0,0.9749999999999999
bob_tampering_s6_record,1,3,1,1,5,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.0,0.0,1.0,0.0,1.0,1.0,0.0,N/A,0.0,1.0,1.0,1.0,1.0
bob_tampering_s6_record,2,5,2,2,9,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.0,0.0,1.0,0.0,1.0,1.0,0.0,N/A,0.0,1.0,1.0,1.0,1.0
bob_tampering_s6_record,4,9,4,4,17,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.0,0.0,1.0,0.0,1.0,1.0,0.0,N/A,0.0,1.0,1.0,1.0,1.0
bob_tampering_s6_record,8,17,8,8,33,0.0,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,8,True,True,0.0,0.0,1.0,0.0,1.0,1.0,0.0,N/A,0.0,1.0,1.0,1.0,1.0
bob_tampering_s6_record,1,3,1,1,5,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,1,True,True,0.0,0.0,0.99625,0.0,0.99625,0.995,0.0,N/A,0.0,1.0,0.9900000000000001,1.0,0.9900000000000001
bob_tampering_s6_record,2,5,2,2,9,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,2,True,True,0.0,0.0,0.99075,0.0,0.99075,0.990025,0.0,N/A,0.0,1.0,0.9900000000000001,1.0,0.9900000000000002
bob_tampering_s6_record,4,9,4,4,17,0.02,F_eff=(1-noise)*F+noise/2 (phenomenological state-level replacement),4000,20260903,one physical-copy batch with random S5/S7 sampling without replacement,4,True,True,0.0,0.0,0.979,0.0,0.979,0.980149500625,0.0,N/A,0.0,1.0,0.9900000000000001,1.0,0.99
